full_name,resale_price,registered_year,transmission_type,fuel_type,max_power
2017 Maruti Baleno 1.2 Alpha,6540.0,2017,Manual,Petrol,83.1bhp
2018 Tata Hexa XTA,12000.0,2018,Automatic,Diesel,153.86bhp
2015 Maruti Swift Dzire VXI,5400.0,2015,Manual,Petrol,83.14bhp
2009 Hyundai i10 Magna 1.1,1920.0,2009,Manual,Petrol,68.05bhp
2015 Hyundai i20 Active 1.2,5640.0,2015,Manual,Petrol,81.86bhp
2017 Tata Tiago 1.05 Revotorq XZ,4320.0,2017,Manual,Diesel,69bhp
2010 Hyundai i10 Magna 1.1,2400.0,2010,Manual,Petrol,68.05bhp
2016 Maruti Eeco 7 Seater Standard BSIV,4440.0,2016,Manual,Petrol,73bhp
2009 Hyundai Santro Xing GL,1440.0,2009,Manual,Petrol,62bhp
2014 Honda Amaze E i-Vtech,3960.0,2014,Manual,Petrol,86.7bhp
2018 Hyundai Xcent 1.2 VTVT SX,5700.0,2018,Manual,Petrol,81.86bhp
2020 Maruti Ciaz Sigma BSIV,8232.0,2020,Manual,Petrol,103.25bhp
2021 Hyundai Venue SX Opt Executive Diesel,15000.0,2021,Manual,Diesel,98.6bhp
2021 Hyundai Venue SX Dual Tone Diesel BSIV,13200.0,2021,Manual,Diesel,89bhp
2019 Maruti Alto K10 VXI AGS Optional,4740.0,2019,Automatic,Petrol,67.1bhp
2016 Maruti Wagon R LXI CNG,4200.0,2016,Manual,CNG,58.16bhp
2011 Toyota Etios VX,3468.0,2011,Manual,Petrol,88.7bhp
2011 Toyota Corolla Altis Diesel D4DGL,3384.0,2011,Manual,Diesel,87.2bhp
2021 Kia Sonet HTX Plus Turbo iMT BSVI,12000.0,2021,Manual,Petrol,118.36bhp
2020 Maruti Ciaz Alpha BSVI,9420.0,2020,Manual,Petrol,103.25bhp
2014 Ford Ecosport 1.5 DV5 MT Ambiente,3600.0,2014,Manual,Diesel,89.84bhp
2011 Mitsubishi Outlander 2.4,4764.0,2011,Automatic,Petrol,170PS
2015 Maruti Swift Dzire VDI,4500.0,2015,Manual,Diesel,74bhp
2011 Maruti Alto K10 LXI,1200.0,2011,Manual,Petrol,67.1bhp
2021 Maruti Baleno Zeta,8100.0,2021,Manual,Petrol,81.80bhp
2018 Hyundai Xcent 1.2 VTVT SX,5580.0,2018,Manual,Petrol,81.86bhp
2015 Maruti Swift Dzire VXI,5760.0,2015,Manual,Petrol,83.14bhp
2014 Maruti Alto 800 LXI,2700.0,2014,Manual,Petrol,47.3bhp
